,text,time
10,28日 湖北襄阳 一女子在经过沿江大道时 看到了蹲在路边吃盒饭的执勤民警孙善勇 她停下脚步 先对路右侧的民警深深鞠躬 辛苦了 向基层一线民警致敬   人民日报的微博视频  ,2020-02-29 20:08
11, 平安红桥 2月28日16时许 红桥区咸阳北路街综合执法队与彰武楼物业工作人员对彰武楼小区开展卫生清理工作 期间 对该小区居民张某某 男 57岁 天津市人 堆积的杂物进行清理时 张某某进行阻拦 物业工作人员李某 男 42岁 天津市人 遂对张某某实施推搡 拖拽等殴打行为 接举报后 公安机关对李某依法传唤 其对上述事实供认不讳 2月29日 依据 中华人民共和国治安管理处罚法 第43条规定 公安红桥分局对李某依法行政拘留十日 并处500元罚款                   原图                             ,2020-02-29 19:36
12,今天 正在海南三亚开展科研攻关的袁隆平院士 通过工作人员向湖南省红十字会捐款10万元 请他们转交湖北抗疫一线 帮助湖北人民共同抗击疫情 袁隆平说  抗击新冠肺炎疫情 尽我一点绵薄之力 相信我们一定会战胜这次疫情  湖南日报的微博视频  ,2020-02-29 19:30
13,武汉的深夜 是无眠的 刚下班的一线医护 方舱医院的保安 在医院帮忙带娃的志愿者 在高速路口搬物资的女孩 准备出院却又发烧了的患者 从深夜到凌晨 每个人都在竭尽全力守护这座城市 守护明天 凌晨四点的武汉 黎明很快就来了   新世相  人民日报的微博视频  ,2020-02-29 19:23
14, 方便重症病人提出吃饭 上卫生间等需求 她形容护士长岗位 不仅累人 更是累心  下班时护士们上了车就睡着了 而她还一堆心事  再熬一熬 挺一挺 就过去了  人民海军的微博视频                                 ,2020-02-29 19:07
15,  原图 ,2020-02-29 18:45
16, 由各地各校组织电视 录播 网络教学 线上辅导答疑 指导学生自学 待完全具备开学复课条件后 全省优先让高三年级学生统一返校复课   原图 ,2020-02-29 18:29
17,据人民日报记者花放 根据德国疾病防控机构罗伯特 科赫研究所最新公布的数据显示 截止当地时间2月29日上午10时 德国共确诊66例新冠病毒肺炎感染病例 综合德国媒体报道 截止目前 在德国北莱茵 威斯特法伦州另有约2000人因曾与确诊患者有接触被居家隔离 由德国联邦内政部和卫生部联合组成的新冠病毒危机管理小组于28日召开第二次会议 决定进一步加强管理 其中包括实施更加严格的入境健康状况报告以及制定了大型活动风险评估的准则 当晚 原定于下周举行的 世界规模最大的旅游业综合性展会之一的柏林国际旅游交易会被临时取消                   原图                             ,2020-02-29 18:17
18,据美联社报道  伊朗卫生部发言人29日表示 伊朗新增新冠肺炎感染者205例 累计593例 新增死亡病例9例 累计43例 报道称已有123名患者治愈  人民日报记者周輖   原图 ,2020-02-29 18:11
19,据人民日报记者周輖 综合中国驻伊朗使馆及伊朗当地媒体消息 为支持伊朗疫情防控工作 中国红十字会志愿专家团队一行5人已于当地时间29日凌晨抵达伊朗首都德黑兰 他们同时携带了部分中方援助的医疗物资 中国专家表示 将抓紧时间了解伊疫情 并与伊方同行们交流抗疫经验 促进双方在医疗卫生领域的合作  伊卫生部官员热烈欢迎中国专家团来伊并带来新一批援助 他表示伊方赞赏中方抗击疫情取得了积极成效 感谢中方在伊困难时刻提供医疗物资和技术支持 愿同中方加强交流合作 借鉴中方抗疫经验 中国驻伊朗大使常华表示 疫情没有国界 近来伊方疫情加剧 中方对此感同身受 中国红十字会派出专家团队 同伊方就共同抗击疫情交流经验 充分体现了中国人民愿同伊朗人民肩并肩共克时艰 常华对来伊专家表示欢迎和敬意 称赞他们是最美 逆行者   根据媒体报道 包括五万个新冠病毒检测盒在内的中国第二批支援伊朗物资预计29日晚抵达德黑兰 此前中国驻伊朗大使馆代表中国政府和当地中资企业向伊朗卫生和医疗教育部捐赠了25万只口罩               组图共2张       原图                             ,2020-02-29 17:46
20,t cnA67VOJHx                  原图                             ,2020-02-29 17:39
21, 其他省市捐赠给武汉的爱心蔬菜和物资优先分配给困难群众 发动社区和志愿者 帮助孤寡老人 残疾人代购代送  人民日报的微博视频  ,2020-02-29 17:35
22, 还需进一步研究明确感染后是否具有免疫力  多数感染患者为轻症并可痊愈   要点速览 转发了解    组图共9张  原图 ,2020-02-29 17:14
23, 不得擅自前往其他地方接离鄂人员进京 不得擅自接全国确诊病例 疑似病例 发热症状患者 密切接触者等4类人员进京 进一步做好外防输入 北京提出三个 不得擅自                   原图                             ,2020-02-29 16:52
24, 三是面向低收入群体推出10元10斤蔬菜包 四是公布重要生活物资零售价格 让市民明白消费  人民日报的微博视频                                 ,2020-02-29 16:43
25,2月29日 在北京市新型冠状病毒肺炎防控工作新闻发布会上 北京市卫健委新闻发言人高小俊说 截至2月28日24时 北京市累计报告确诊病例411例 已治愈出院病例271例 治愈率65 9  死亡病例8例 死亡率约1 9  北京新冠肺炎确诊患者死亡率约1 9   原图 ,2020-02-29 16:30
26, 禽肉28天 鸡蛋10天 蔬菜商业动态库存3天 可以保证一周左右供应 目前武汉物资供应品种丰富 库存充足 能保证全市人民基本生活需求  人民日报的微博视频                                 ,2020-02-29 16:26
27,中日友好医院康复科主任谢欲晓介绍 新冠肺炎治愈出院后的患者 在继续做好安全防护和遵守两周医学观察的医嘱前提下 针对不同类型患者 根据患者心肺功能 心理状态 体能等 可因人而异 分类指导 给予适当可行的康复干预   人民日报的微博视频  ,2020-02-29 16:13
28,  原图 ,2020-02-29 16:03
29,2月29日下午四点 湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第35场新闻发布会 介绍情况并回答记者提问  人民日报 正在直播 关注  人民日报的微博视频    ,2020-02-29 16:01
30,国家卫健委医政医管局监察专员郭燕红表示 我们现在一手要抓疫情防治和患者救治 另外一手也要保障好人民群众日常的医疗服务需求 对于正常 日常的门诊服务 住院服务绝对不能够一停了之 一关了之  人民日报的微博视频  ,2020-02-29 15:57
31,北京地坛医院中西医结合科主任医师王融冰表示 针对医学观察期一些人可能有虚弱 乏力 腹泄 腹胀甚至自觉发热等症状 推荐了一些具有清热作用的中成药 但这些药物的使用并不是为了预防 不主张健康人 没有症状的人使用中成药来预防 没有意义  人民日报的微博视频                                 ,2020-02-29 15:39
32,北京大学第一医院感染疾病科主任王贵强 有11例病理解剖患者 初步结果对临床已经有指导性价值 病例解剖有很多工作要做 病理专家正和临床专家讨论已经见到的结果 数据应该会很快报出来 供临床治疗决策做重要参考 感谢病理解剖的病理学专家 感谢临床医生 更要感谢故去的患者及家属对病理解剖的支持  人民日报的微博视频                                 ,2020-02-29 15:33
33, 人民海军的微博视频  ,2020-02-29 11:31
34, 继续加油   原图 ,2020-02-29 11:12
35,武汉学院会计专业大三学生郭岳 寒假期间从武汉回沧州老家后确诊新冠肺炎 最终未感染一人 他是如何做到的  回家途中全程佩戴口罩  回家后一直把自己隔离在房里  2月7日出院后计划在车库隔离28天 回家确诊 未连累一名亲友 武汉一大学生硬核隔离的38天    组图共4张  原图 ,2020-02-29 10:51
36,截至当地时间29日上午十点半 日本的新冠肺炎感染者共计940人 其中包括在日本国内的感染者和中国游客等221人  钻石公主 号邮轮的乘客和乘务人员705人 以及乘坐日本政府包机回到日本国内的14人 其中在日本本土感染新冠肺炎死亡的有5人 在 钻石公主 号邮轮上感染新冠肺炎死亡的有6人 共计死亡人数达到11人  央视                   原图                             ,2020-02-29 10:39
37, 他们除了要经受病痛折磨 还面临治疗难 用药贵 无法融入社会等问题 罕见病并不罕见 但罕见病病人却最容易被忽视 为爱转发 关注罕见病患者 别让他们孤单    组图共9张  原图 ,2020-02-29 10:28
38, 需要对衣服进行处理吗 口罩 钥匙 购物袋 这些细节你注意过吗 戳图了解  转存    组图共9张  原图 ,2020-02-29 10:02
39,据国家卫健委通报 截至2月28日24时 据31个省 自治区 直辖市 和新疆生产建设兵团报告 现有确诊病例37414例 累计治愈出院病例39002例 累计治愈出院病例首次超过现有确诊病例   原图 ,2020-02-29 09:40
40,韩国中央防疫对策本部29日通报 截至当天上午9时 韩国较前一天下午4时新增新冠肺炎确诊病例594例 累计确诊病例达2931例 共出现16例死亡病例  马菲   原图 ,2020-02-29 09:21
41,对于在抗疫一线的医护人员来说 长时间佩戴护目镜会出现起雾情况 武汉市第四医院的医护们发现 在戴上同事叶婧婧处理后的护目镜后 即使在6至8小时都不会起雾 叶婧婧则将自己擦护目镜的方法拍成视频 将不起雾的秘诀展示给大家 长江日报的微博视频  ,2020-02-29 09:14
42,据湖北省卫健委通报 2020年2月28日0 24时 全省新增新冠肺炎确诊病例423例 其中 武汉市420例 鄂州市1例 孝感市1例 恩施州1例 黄石市 十堰市 襄阳市 宜昌市 荆州市 荆门市 黄冈市 咸宁市 随州市 仙桃市 天门市 潜江市 神农架林区均为0例   原图 ,2020-02-29 08:47
43,   原图 ,2020-02-29 08:39
44,据国家卫健委数据统计 2月28日0 24时 湖北以外30个省 自治区 直辖市 和新疆生产建设兵团报告新增确诊病例4例   原图 ,2020-02-29 08:34
45,据湖北省卫健委通报 2020年2月28日0 24时 全省新增新冠肺炎确诊病例423例 其中 武汉市420例 鄂州市1例 孝感市1例 恩施州1例 黄石市 十堰市 襄阳市 宜昌市 荆州市 荆门市 黄冈市 咸宁市 随州市 仙桃市 天门市 潜江市 神农架林区均为0例 全省新增病亡45例 其中 武汉市37例 随州市2例 黄石市1例 十堰市1例 襄阳市1例 鄂州市1例 孝感市1例 黄冈市1例 宜昌市 荆州市 荆门市 咸宁市 恩施州 仙桃市 天门市 潜江市 神农架林区均为0例 全省新增出院2492例 其中 武汉市1726例 孝感市252例 黄冈市78例 鄂州市62例 随州市57例 荆州市52例 襄阳市49例 咸宁市33例 宜昌市33例 十堰市32例 天门市30例 荆门市29例 黄石市22例 仙桃市20例 恩施州9例 潜江市8例 神农架林区0例 截至2020年2月28日24时 湖北省累计报告新冠肺炎确诊病例66337例 其中 武汉市48557例 孝感市3518例 黄冈市2904例 荆州市1579例 鄂州市1390例 随州市1307例 襄阳市1175例 黄石市1013例 宜昌市931例 荆门市924例 咸宁市836例 十堰市671例 仙桃市575例 天门市496例 恩施州252例 潜江市198例 神农架林区11例 全省累计治愈出院28895例 其中 武汉市17552例 黄冈市2119例 孝感市2047例 荆州市965例 襄阳市802例 随州市797例 鄂州市747例 咸宁市677例 黄石市675例 荆门市563例 宜昌市462例 十堰市421例 仙桃市408例 天门市362例 恩施州181例 潜江市107例 神农架林区10例 全省累计病亡2727例 其中 武汉市2169例 孝感市115例 黄冈市115例 荆州市46例 鄂州市44例 随州市40例 荆门市37例 黄石市34例 襄阳市33例 宜昌市31例 仙桃市19例 天门市13例 咸宁市11例 潜江市9例 十堰市7例 恩施州4例 神农架林区0例 目前仍在院治疗31064例 其中 重症6056例 危重症1314例 均在定点医疗机构接受隔离治疗 现有疑似病例1171人 当日新增159人 当日排除977人 集中隔离1171人 累计追踪密切接触者263916人 尚在接受医学观察39303人                   原图                             ,2020-02-29 08:31
46,2月28日0 24时 31个省 自治区 直辖市 和新疆生产建设兵团报告新增确诊病例427例 新增死亡病例47例 湖北45例 北京1例 河南1例  新增疑似病例248例   当日新增治愈出院病例2885例 解除医学观察的密切接触者10193人 重症病例减少288例   截至2月28日24时 据31个省 自治区 直辖市 和新疆生产建设兵团报告 现有确诊病例37414例 其中重症病例7664例  累计治愈出院病例39002例 累计死亡病例2835例 累计报告确诊病例79251例 现有疑似病例1418例 累计追踪到密切接触者658587人 尚在医学观察的密切接触者58233人   湖北新增确诊病例423例 武汉420例  新增治愈出院病例2492例 武汉1726例  新增死亡病例45例 武汉37例  现有确诊病例34715例 武汉28836例  其中重症病例7370例 武汉6585例  累计治愈出院病例28895例 武汉17552例  累计死亡病例2727例 武汉2169例  累计确诊病例66337例 武汉48557例  新增疑似病例159例 武汉114例  现有疑似病例1171例 武汉788例    累计收到港澳台地区通报确诊病例138例 香港特别行政区94例 出院30例 死亡2例  澳门特别行政区10例 出院8例  台湾地区34例 出院9例 死亡1例                    原图                             ,2020-02-29 08:30
47,t cnA67t9Xlx                  原图                             ,2020-02-29 08:19
48,眼科患者 心内科患者 准妈妈  疫情防控期间不同人群看病都有哪些注意事项 各科医生的100条建议  转给需要的人    组图共11张  原图 ,2020-02-29 07:44
49,t cnA67tx52D  原图 ,2020-02-29 07:14
50,当地时间2月28日晚 英格兰卫生部门确认了一名在英国境内感染新冠病毒的患者 目前 英国共有20人感染新冠病毒 其中8人已治愈出院 英格兰首席医疗官克里斯 惠蒂教授表示 这名感染者近期没有出国经历 尚不清楚他是否曾直接或间接接触过有国外旅行史的人 追踪和调查工作正在展开 英国天空台报道称 在医护人员和医疗设备短缺的情况下 一旦新冠病毒疫情在英国大规模爆发 英国的医疗系统可能难以应对  强薇                   原图                             ,2020-02-29 06:36
51, 治愈46例  韩硕   原图 ,2020-02-29 06:31
52,情 况 说 明                  原图                             ,2020-02-29 01:14
53,世界卫生组织总干事谭德塞28日宣布将新冠肺炎疫情全球风险级别由此前的 高 上调为 非常高   新华国际   原图 ,2020-02-29 00:05
54,据法新社报道 伊朗卫生部长纳马基28日宣布 伊朗全国学校将持续停课至下周二 他在国家电视台表示 未来一周将是 非常艰难 的一周 伊朗卫生部发言人贾汉普尔当天表示 伊朗疫情已经进入感染者持续增长阶段 这个过程将持续多天甚至数周 根据伊朗卫生部通报的数据 截至28日下午 伊朗累计感染新冠肺炎人数达到388人 比过去一天增长143人 有34人死亡 73人出院 疫情已波及伊朗境内24个省份 另据媒体报道 伊朗已进口口罩 防护服等 相关工厂也在加紧生产 29日起药店有足够库存可供购买  人民日报记者周輖                   原图                             ,2020-02-29 00:02
55,被禁赛8年 孙杨表示 震惊 愤怒 不能理解  一场赛外检查出了意外 由风波演绎为风暴 孙杨的运动生涯面临残酷的 熔断  对兴奋剂必须零容忍 无论谁触碰底线都要受到处罚 同时 对证据的采纳和结果的裁定也必须符合程序正义 支持孙杨依法维权   原图 ,2020-02-29 00:00
56,一个人靠不靠谱 看这5件小事  ,2020-02-28 23:50
57,疫情期间 他们专注的模样让人动容 阴霾总会过去 为了梦想好好努力 终将春暖花开    组图共9张  原图 ,2020-02-28 23:16
58,近日 火神山医院检验科 记者实拍样本到达实验室后如何检测 首先放入水浴锅内 进行56度30分钟灭活操作 杀死样本中的冠状病毒 然后在生物安全柜内进行核酸提取 每一步对检测人员来说都有风险 戳视频一探究竟  央视军事的微博视频  ,2020-02-28 22:53
59,参与临床救治的主治医师 参建火神山医院的工程师 运送病毒样本的检验人员 制造防疫物资的车间工人  无论是救治一线 还是生产前线 她们的身影处处可见 用肩膀扛起沉甸甸的责任 她们 是逆行抗疫的巾帼力量 抗疫前线的女战士  转发 致敬    组图共12张  原图 ,2020-02-28 22:19
60,据湖北省新冠肺炎疫情防控指挥部  明确首批流动人员为各地保障疫情防控 公共事业运行 群众生活必需及其他涉及重要国计民生相关企业的返岗员工  先期将省内必需返岗人员纳入全省统一疫情防控健康码管理  鼓励以员工自驾方式或用工单位 点对点 包车方式实施返程 沿途做好防疫工作 重要 湖北部署省内必需返岗人员流动工作                  原图                             ,2020-02-28 22:12
61,在国防部例行记者会上发言人吴谦表示 经国务院 中央军委批准 将2020年上半年征兵工作推迟至下半年一并组织实施 上半年征兵任务合并至下半年一并完成 全年征集新兵总任务和各省 自治区 直辖市年度征集新兵任务不变 征集时间统一调整为8月1日开始 9月10日起运新兵 9月30日结束  人民日报记者李龙伊               组图共4张       原图                             ,2020-02-28 21:55
62,世卫组织总干事谭德塞表示 现在中国以外地区是世卫组织最大担忧 现在是决定性的时刻 如果像中国那样采取措施 疫情最终是可以被遏制的 但另一方面 世界范围内的确诊病例在不断增加 防控局面还很严峻 结果如何取决于我们的应对方式   人民日报的微博视频                                 ,2020-02-28 21:31
63,近日 内蒙古军区和内蒙古自治区退役军人事务厅等单位联合捐赠了14吨牛羊肉 火锅底料等物资 26日物资乘坐K598次列车奔向武昌站 工作人员说  前段时间牛羊肉刚发出 火锅底料随后就到 咱内蒙古捐物资都是成套的  硬核支援 先送牛羊肉 再送火锅底料    组图共4张  原图 ,2020-02-28 21:07
64,依法惩处叛国乱港分子是公道人心                                 ,2020-02-28 20:51
65, 人民日报记者徐驭尧 刘晓江    组图共6张  原图 ,2020-02-28 20:31
66,截至2月25日 一个多月来全国公安民警辅警49人因公牺牲 这是他们的名字   相关单位务必让基层公安人员劳逸结合 保护好我们的英雄 希望数字不再上升   原图 ,2020-02-28 20:07
67,据阿联酋海湾新闻网报道 伊朗卫生部发言人贾汉普尔28日在国家电视台说 伊朗过去一天新增143例新冠肺炎感染者 累计388人 死亡病例升至34例  周輖   原图 ,2020-02-28 19:53
68, 戳     组图共9张  原图 ,2020-02-28 19:23
69,根据外媒报道 截至27日 至少有7名伊朗官员感染了新冠肺炎 27日宣布确诊的伊朗副总统玛苏梅 埃卜特卡尔在目前已知感染者中级别最高 此外还有伊朗议会国家安全和外交委员会主席穆杰塔巴 宗努尔 伊朗卫生部副部长哈利其 国会议员马哈默德 萨德吉 德黑兰一地区长官穆尔塔扎 拉曼扎德 库姆市新冠疫情管理长官穆罕默德 雷扎 加迪尔 以及于27日感染新冠肺炎去世的81岁前伊朗驻梵蒂冈大使哈迪 霍斯罗沙希 根据伊朗卫生部的相关规定 28日伊朗多个城市取消了周五集体礼拜活动 以防止疫情继续扩散  人民日报记者周輖                   原图                             ,2020-02-28 19:08
70, 孙杨  我刚刚训练完毕 我一直坚信自己的清白 收到国际体育仲裁院的裁决结果 我感到震惊 愤怒 不能理解 我明明按照兴奋剂检查的各项规定 积极配合 只是因为检查人员不具备资质 他们当时自己也承认了这一点 所以同意不带走血样 怎么就成了我的错误  考虑到国际体育仲裁院在本案审理过程中存在的问题 我已经委托律师依法向瑞士联邦最高法院提起上诉 让更多的人知道事实真相 我坚信自己的清白 坚信事实必定战胜谎言 再次感谢大家的支持与帮助 感谢国家体育总局 中国游泳协会和各级领导的关心 感谢国内外体育爱好者的支持 我要为捍卫自己的合法权益奋战到底                   原图                             ,2020-02-28 18:46
71,国家卫健委副主任于学军表示 为确保复工 复产 复学过程中不出现疫情反弹 将组织督导组对各省区市预案制定情况 医疗救治力量准备情况 有关保障供应储备情况进行督导 复工复产复学过程中 如出现因防控措施不到位而引发疫情反弹的情况将严肃处理  人民日报的微博视频                                 ,2020-02-28 18:23
72,一图了解     原图 ,2020-02-28 18:15
73,本案起因于2018年9月4日晚国际兴奋剂检查管理公司 IDTM 3名工作人员对孙杨的一次赛外兴奋剂检查 由于孙杨对检查人员出示的资质证明存疑 此次检查最终未能完成 2018年11月19日 国际泳联就此事在瑞士洛桑举行听证会 2019年1月 国际泳联裁决此次检查无效 孙杨不存在违反 世界反兴奋剂条例 的行为 2019年3月12日 世界反兴奋剂机构因不满裁决结果 向国际体育仲裁法庭提出上诉 2019年11月15日 国际体育仲裁法庭在瑞士蒙特勒就此案举行了公开听证会并通过网络进行全球直播 这是国际体育仲裁法庭有史以来第二次举行公开听证会 上一次发生在1999年 当时向国际体育仲裁法庭提出上诉的爱尔兰游泳运动员最终败诉 在这场耗时10小时的听证会中 双方辩论的焦点集中在世界反兴奋剂机构委托的服务公司 IDTM 检测人员是否具有相应资质 孙杨方律师明确指出血检官只有护士证但是没有IDTM授权的检查官证明 尿检官只有身份证且在检查过程中对孙杨拍照违反兴奋剂检查的规定等 案件所涉3名检测人员均未出庭 听证会结束后 国际体育仲裁法庭组织的本案仲裁小组主席弗朗哥 弗拉蒂尼表示 公开听证会显示了对运动员各项权利的尊重 所有证据证言都会被充分核查 裁决结果将择日宣布 之后 孙杨恢复到东京奥运会的训练备战中 并在今年1月的国际泳联冠军游泳系列赛的两站比赛中取得4战3冠的成绩  人民日报记者孙龙飞                   原图                             ,2020-02-28 17:59
74,对国际体育仲裁法庭 CAS 就世界反兴奋剂机构 WADA 上诉国际泳联反兴奋剂小组和孙杨一案做出的裁决 我们深表遗憾 中国游泳协会一贯坚持对使用兴奋剂 零容忍  一贯重视加强运动员反兴奋剂教育 我们了解 2018年9月4日 国际泳联 FINA 授权的样本采集机构  国际兴奋剂检查管理公司 IDTM 对孙杨实施赛外检查时 使用了未经专业培训 不具备法定资质人员采集运动员样本 活动是非法和无效的 我们支持孙杨继续以法律手段维护自己的合法权益 同时希望世界反兴奋剂机构 体育组织 兴奋剂检查代理机构改进 完善规则 严格执行规则包括兴奋剂检查人员资证要求 不能忽视运动员个人合法权利 不能让任何人都可以去从事与运动员切身利益密切相关的兴奋剂检查工作  人民日报记者孙龙飞               组图共2张       原图                             ,2020-02-28 17:49
75,北京时间2月28日下午5点 国际体育仲裁法庭 CAS 宣布了此前世界反兴奋剂机构 WADA 诉中国游泳运动员孙杨和国际泳联 FINA 一案的仲裁结果 从今天开始孙杨被禁赛8年 根据国际体育仲裁法庭的规定 如果对此次裁决结果不满 可于30天内就非常有限范围内的原因向瑞士联邦最高法院提出上诉  人民日报记者孙龙飞               组图共3张       原图                             ,2020-02-28 17:15
76,国家卫健委医政医管局副局长焦雅辉表示 援助医疗队轮换休整方案已开始实施 第一种模式为医疗队内部轮换 第二种为整建制轮换 早期到达的福建 天津医疗队已开始轮休 第三种为重新编组 如甘肃医疗队医生工作1天休息1 5 2天 护士工作1天休息2 5 3天 重庆医疗队医生每周工作时长由50 60小时降为25 30小时 护士每周工作时长从40小时降至20小时  人民日报的微博视频                                 ,2020-02-28 17:05
77,28日下午 雷神山医院迎来一场特殊的婚礼 新郎新娘都是上海医疗队的护士 因原定在老家的婚礼取消 雷神山医院为他们举行一场 战地婚礼  戳直播  祝福新人  人民日报的微博视频    ,2020-02-28 17:00
78,近期 随着日韩等国新冠肺炎疫情的扩散蔓延 北京 山东等地全面加强入境健康管理 有媒体在28日举行的外交部记者会上问及 这是否意味着中国各地全面升级针对外国公民的入境限制措施 对此 中国外交部发言人赵立坚当天表示 北京等地有关防控规定适用于来自或去过境外疫情严重地区的所有入境人员 对中国公民和外国公民一视同仁 这些非常时期的非常举措得到了中国民众的理解和支持 相信也会得到有关国家的理解和配合 赵立坚表示 世卫组织专家指出 中方采取的包括隔离措施在内的应对疫情的战略和战术方法被事实证明是正确和成功的 在减缓疫情扩散蔓延 阻断病毒的人际传播方面取得明显成效 中方愿就此与有关国家共同开展联防联控 更有效地维护中国人民和其他国家公民的生命安全和身体健康 外交部 国内部分地方的入境措施希望得到有关国家理解配合                  原图                             ,2020-02-28 16:52
79,用于245例患者的临床治疗 在患者临床的治疗过程当中 根据对超过48小时共157例患者的监测 这157例患者当中 有91例患者的一些临床指标和症状都有改善 国家卫健委医政医管局监察专员郭燕红表示 大量的临床研究实践证明 新冠肺炎康复者的血浆能够通过特异性抗体来中和新冠病毒 在利用康复者恢复期血浆治疗过程当中 取得了比较好的效果 其安全性和有效性得到了公认                   原图                             ,2020-02-28 16:27
80,截至日本当地时间2月28日17时25分 日本累计确诊新冠肺炎病例931例 因新冠肺炎死亡累计9人 据共同社报道 28日 北海道新确诊12名新冠肺炎患者 当天 家住和歌山县的一名70多岁的新冠肺炎男性患者死亡  刘军国   原图 ,2020-02-28 16:27
81,  人民日报的微博视频  ,2020-02-28 16:12
82,人民日报记者马菲消息 韩国中央防疫对策本部28日通报 截至当天下午4时 韩国较当天上午9时新增新冠肺炎确诊病例315例 累计确诊病例达2337例 与前一天下午4时相比 一天内增加病例571例   原图 ,2020-02-28 16:05
83,28日 北京大学第一医院感染疾病科主任王贵强表示 在新冠病毒感染里 聚集性发病的定义强调 两周内小范围 办公室 家庭 班级等 出现两例或两例以上的有发热 呼吸道症状 即可称为聚集性病例   人民日报的微博视频  ,2020-02-28 16:04
84,国务院新闻办公室于28日下午4时在湖北武汉举行新闻发布会 介绍中央指导组指导疫情防控和医疗救治工作进展 敬请关注  人民日报的微博视频    ,2020-02-28 16:01
85,28日 科研攻关组信息化专班专家组组长 中国工程院院士吴曼青表示 中国电科集团建立了风险人群大数据平台 密切接触者测量仪 输入姓名身份证就知道自己是不是密切接触者 有些企业研发了红外测量设备和人工智能相结合 可以快速识别发热患者 互联网企业研发人工智能辅助诊断手段 提高了诊断效率 总体来看 大数据技术在抗击疫情中发挥了特别的积极作用  人民日报的微博视频                                 ,2020-02-28 15:46
86,28日 科技部社会发展科技司司长吴远彬表示 目前研究结论显示 呼吸道飞沫和密切接触传播仍然是主要传播途径 粪口传播有一定风险 但传播能力和条件还需进一步相应研究证实 针对气溶胶传播 中国医科院实验动物所开展相应实验 气溶胶传播要同时满足密闭的空间 较长的时间 高浓度病毒三个条件 在这些条件下才有传染的可能性 通风条件良好的日常生活中气溶胶传播可能性小  人民日报的微博视频                                 ,2020-02-28 15:31
87,国家卫生健康委医政医管局监察专员郭燕红表示 部分省报告出院患者核酸检测阳性的情况 通过连续监测发现 这部分患者还没有再发生传染别人的现象 一部分患者再检测已转为阴性 新冠肺炎病毒的致病机理 疾病全貌 病程特点还要加深认识 要进一步加强出院患者管理 同时要加强跟踪随访 健康监测 健康指导  人民日报的微博视频                                 ,2020-02-28 15:14
88,t cnA67GAP8w  原图 ,2020-02-28 15:05
89,国务院联防联控机制定于28日15时召开新闻发布会 介绍新冠肺炎的防控和治疗有关情况  人民日报 现场直播 一起关注  人民日报的微博视频    ,2020-02-28 15:00
90, 更多    组图共9张  原图 ,2020-02-28 14:41
